Date,RBRP11,VRTA11,HSML11
2021-05-13,90.0,112.80000305175781,90.27999877929688
2021-05-14,90.0,112.0,91.38999938964844
2021-05-17,88.70999908447266,110.47000122070312,90.1500015258789
2021-05-18,88.6500015258789,111.0,89.91999816894531
2021-05-19,87.80000305175781,110.79000091552734,89.0199966430664
2021-05-20,87.48999786376953,110.4000015258789,89.69000244140625
2021-05-21,86.5,110.5199966430664,89.19999694824219
2021-05-24,86.36000061035156,110.0199966430664,88.8499984741211
2021-05-25,86.19999694824219,111.56999969482422,89.19000244140625
2021-05-26,84.0999984741211,111.9000015258789,88.80999755859375
2021-05-27,84.81999969482422,110.41999816894531,89.70999908447266
2021-05-28,86.0,112.37999725341797,90.0
2021-05-31,87.2300033569336,112.41999816894531,91.08999633789062
2021-06-01,85.41000366210938,111.29000091552734,90.01000213623047
